time,open,high,low,close,Volume,VWAP,VWAP_Upper1,VWAP_Lower1,VWAP_Upper2,VWAP_Lower2,EMA_8,EMA_20,EMA_50,EMA_200,ATR_14,RVOL,VIX,NQ,RTY,US10Y,DXY
1771868760,6844.25,6844.5,6840.25,6841.75,1636,6878.333917465527,6903.163152939818,6853.504681991235,6927.992388414111,6828.675446516942,6841.921565862994,6842.79169903892,6845.903740204734,6861.402573941707,3.4217241199709387,0.6501092787601828,21.55,24710,2606,4.021,97.674
1771868820,6841.75,6842.75,6840,6841,1862,6878.278951438439,6903.131161844212,6853.4267410326665,6927.983372249985,6828.574530626894,6841.716773448995,6842.621061035214,6845.711436667294,6861.199563255719,3.3737438256873,0.7322780454232622,21.59,24702.25,2605.7,4.021,97.676
1771868880,6841,6842,6839,6840.25,2196,6878.213033388586,6903.094034753526,6853.332032023646,6927.975036118465,6828.451030658707,6841.390823793663,6842.395245698526,6845.497262680341,6860.99110988999,3.347047838138207,0.8510473385393454,21.55,24699,2605,4.019,97.666
1771868940,6840.25,6841.5,6840,6840.5,1182,6878.177880452526,6903.073897747326,6853.281863157726,6927.969915042126,6828.385845862926,6841.1928629506265,6842.21474610819,6845.3012915948375,6860.787218249294,3.215115849699764,0.45894892154769074,21.58,24701.5,2605,4.019,97.665
1771869000,6840.25,6843.5,6840,6843.5,1815,6878.128317099733,6903.04100677659,6853.215627422876,6927.953696453447,6828.302937746019,6841.70556007271,6842.337151240744,6845.230652708766,6860.615206127411,3.235464717578352,0.7101633571358701,21.55,24719.25,2605.6,4.018,97.656
1771869060,6843.5,6845,6841.5,6841.75,2372,6878.060493889264,6902.999372873609,6853.121614904919,6927.938251857955,6828.182735920573,6841.715435612107,6842.281232074959,6845.094156524108,6860.427492633606,3.254360094894184,0.9327565867086118,21.51,24709.5,2605.9,4.018,97.658
1771869120,6841.5,6846.75,6841.5,6846.5,2024,6878.010365355534,6902.961104706705,6853.059626004364,6927.911844057875,6828.108886653194,6842.77867214275,6842.683019496391,6845.14928764081,6860.288910617351,3.3969058024017427,0.7872576285030826,21.49,24728.25,2608.5,4.018,97.639
1771869180,6846.5,6851,6845.75,6849.25,4499,6877.909181673016,6902.874137912013,6852.944225434019,6927.839094151011,6827.9792691950215,6844.216744999917,6843.308446211021,6845.31009989019,6860.17907071071,3.529269673658761,1.6478344473949271,21.29,24739.5,2610.1,4.018,97.634
1771869240,6849,6851,6847.75,6848.75,2905,6877.843091619939,6902.818263163176,6852.867920076701,6927.793434706413,6827.892748533464,6845.224134999936,6843.826689429019,6845.444997933712,6860.065348614086,3.5093218398259927,1.070474435743897,21.33,24740,2609.3,4.021,97.639
1771869300,6849,6851,6847,6850.5,2804,6877.783403049122,6902.763916785368,6852.802889312877,6927.744430521614,6827.82237557663,6846.396549444395,6844.462242816731,6845.6432333088605,6859.970171015936,3.5443702798384216,1.0334279290900379,21.28,24746.25,2610.6,4.021,97.639
